feature,split,gain,total,null_imp,total_null
f015_pb1_d0_lumi_min,0.02453116120477363,0.05234567075264885,0.07687683195742248,0.06598587172576634,0.010890960231656144
f013_lumi_std,0.03580223527183179,0.020878103967212663,0.05668033923904445,0.04639288789068652,0.010287451348357929
f003_pb2_flux_norm2_skew,0.028225042621708663,0.0021111541508954295,0.030336196772604088,0.02006320941513894,0.010272987357465149
f003_pb1_lumi_max,0.04157984466755067,0.010608198001177791,0.05218804266872847,0.04257844422978623,0.00960959843894224
f002_lumi_max,0.019321841257813974,0.006673797463166479,0.025995638720980457,0.01646447779906892,0.009531160921911537
f003_pb1_lumi_mean,0.055218791437772315,0.009753078614664987,0.06497187005243729,0.055625640050592035,0.009346230001845257
f017_pb0_lumi_mean-d-pb4_lumi_mean,0.017711687819662814,0.08179331849382536,0.09950500631348816,0.09048237449078904,0.00902263182269912
f014_d0_lumi_median,0.03163477931426407,0.06996754807135762,0.1016023273856217,0.09292618544464874,0.00867614194097295
f015_pb5_d1_lumi_q90,0.01297594241333586,0.04004180155696516,0.05301774397030101,0.04455367205253483,0.008464071917766179
f003_pb2_flux_norm2_q90-m-q10,0.04830460314453496,0.00539142712693905,0.05369603027147401,0.04658309835261815,0.007112931918855855
f014_d1_flux_norm3_mean,0.07473006251183938,0.002772473056920645,0.07750253556876002,0.07044046573974955,0.0070620698290104755
f023_pb5_lumi_max,0.0300246258761129,0.019333530875028357,0.04935815675114125,0.042371458305365685,0.006986698445775562
f015_pb2_d1_lumi_max,0.03561280545557871,0.017339673998615638,0.052952479454194346,0.046066240709551856,0.006886238744642489
f003_pb2_lumi_max-d-pb5_lumi_max,0.0682894487592347,0.021495885503193327,0.08978533426242802,0.08312331534606551,0.006662018916362505
f027_lumi_q90,0.012786512597082779,0.006296199497493421,0.019082712094576203,0.012758539854445371,0.006324172240130831
f023_pb5_lumi_median,0.043189998105701836,0.010420600309447066,0.05361059841514891,0.04755693868476588,0.006053659730383028
f003_pb1_lumi_max-d-pb3_lumi_max,0.028888046978594432,0.05318102785570473,0.08206907483429916,0.07634568480768834,0.0057233900266108195
f013_lumi_max,0.009945065353286608,0.0030804339363255783,0.013025499289612186,0.007920769899799252,0.005104729389812934
f003_pb0_flux_ratio_sq_q75-d-pb5_flux_ratio_sq_q75,0.042526993748816064,0.08884748010059773,0.1313744738494138,0.12628790028494682,0.005086573564466984
